date,EthiopiaArrivals,karéta,hotél,Addis,harga,amniga,tigidhada,xadka,wadada tareenka,bas,haajiraan,shaqada,qaxooti,gaadiid,isukeenid,xorriyadda,waxbarasho,lacag,Itoobiya,carruurta,tareenada,hoteelo,Addis_SO,qiimaha
2019-08-31,7966,0.0,0.0,5.25,0.0,28.25,0.0,7.0,0.0,27.75,0.0,14.5,4.75,0.0,0.0,0.0,17.25,9.0,14.75,0.0,0.0,0.0,20.75,7.75
2019-09-30,7456,0.0,0.0,17.8,0.0,6.0,0.0,6.0,0.0,18.0,0.0,12.4,0.0,0.0,0.0,0.0,18.6,17.4,13.2,0.0,0.0,0.0,34.6,0.0
2019-10-31,7947,0.0,0.0,19.25,0.0,25.75,0.0,25.5,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,17.75,5.25,14.0,0.0,0.0,0.0,29.25,11.0
2019-11-30,7268,0.0,0.0,35.25,0.0,7.0,0.0,7.0,0.0,7.0,0.0,18.75,0.0,0.0,0.0,0.0,12.0,7.75,17.25,0.0,0.0,0.0,15.0,7.5
2019-12-31,8705,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,20.4,0.0,29.8,0.0,0.0,0.0,0.0,8.2,16.2,9.8,0.0,0.0,0.0,16.0,4.8
2020-01-31,4976,0.0,0.0,8.25,0.0,6.25,0.0,0.0,0.0,18.25,0.0,8.5,0.0,0.0,0.0,0.0,10.0,12.75,11.75,0.0,0.0,0.0,22.5,10.0
2020-02-29,3165,0.0,0.0,25.0,0.0,0.0,0.0,6.0,0.0,12.25,0.0,14.75,0.0,0.0,0.0,0.0,8.5,7.0,9.25,0.0,0.0,0.0,24.5,4.5
2020-03-31,1783,0.0,0.0,14.4,0.0,13.4,0.0,5.0,0.0,26.4,0.0,23.8,0.0,0.0,0.0,0.0,14.2,7.8,11.4,0.0,0.0,0.0,20.8,9.8
2020-04-30,0,0.0,0.0,20.25,0.0,0.0,0.0,14.5,0.0,14.25,0.0,14.5,0.0,0.0,0.0,0.0,10.75,10.0,6.75,0.0,0.0,0.0,15.75,13.25
2020-05-31,0,0.0,0.0,13.8,0.0,11.2,0.0,6.4,0.0,14.2,0.0,7.4,4.4,0.0,0.0,0.0,6.8,10.8,10.8,0.0,0.0,0.0,16.8,19.4
